namaMK,deskripsiMK
Machine Learning,"Mahasiswa mampu menjelaskan konsep Pemelajaran Mesin (Machine Learning). Mahasiswa mampu mengaplikasikan algoritma machine learning sebagai alat untuk membantu mengambil keputusan sesuai dengan informasi yang tersedia di dunia nyata. Konsep dasar Machine learning, Algoritma Pemelajaran Pohon Keputusan, Algoritma berbasis Teori bayes, Algoritma Jaringan Saraf Tiruan, Algoritma ensemble, Reduksi dimensi. Mata kuliah Pemelajaran Mesin (Machine Learning) mempelajari teori-teori dasar dari pemelajaran mesin, cara penyusunan algoritma Pemelajaran Mesin (Machine Learning), dasar matematika Pemelajaran Mesin (Machine Learning), dan cara penggunaan algoritma Pemelajaran Mesin (Machine Learning) untuk aplikasi kecerdasan buatan (Artificial intelligence) sederhana. Teknologi Pemelajaran Mesin (Machine Learning) dan kecerdasan buatan (Artificial intelligence), Metode Pemelajaran Mesin (Machine Learning) sederhana bertipe Pemelajaran Terawasi dengan Pengelompokkan Jarak Minimal, Metode klasifikasi dengan menggunakan Jarak Mahalanobis, Metode machine learning menggunakan Klasifikasi Keputusan Bayes, Metode machine learning menggunakan teknik parameter, Teknik machine learning menggunakan metode multivariat, Metode pengurangan dimensi, Metode Pengelompokan, Metode Non-Parameter, Metode Pohon Keputusan, Teknik Diskrit Linier, Jaringan saraf tiruan, Jaringan Saraf Tiruan Lapisan Banyak dan kernel mesin, Metode Mesin Vektor Pendukung, Metode Deep Learning untuk klasifikasi dan regresi."
Manajemen Jaringan,"Mahasiswa dapat memahami topik-topik lanjutan dalam layanan koneksi infrastruktur jaringan yang berkaitan dengan pengelolaan koneksi infrastruktur dan mengenal topik-topik penelitian yang berkaitan dengan manajemen koneksi infrastruktur. Mampu menyusun subnet, Mampu menyusun koneksi infrastruktur (koneksi infrastruktur Area Lokal Virtual), Mampu mengatur perutean, Mahasiswa mampu membahas tata cara manajemen alamat IP (Internet Protokol), Mahasiswa mampu merancang (Penafsiran alamat koneksi infrastruktur), Mahasiswa mampu mengonfigurasi (Sistem Penamaan Domain), Mahasiswa mampu menganalisis penggunaan lalu lintas koneksi infrastruktur dari data histori yang diberikan, Mahasiswa mampu membahas aspek-aspek yang perlu diperhatikan dalam keamanan koneksi infrastruktur, Mahasiswa mampu menggunakan dan mengimplementasikan (koneksi infrastruktur Pribadi Virtual) sederhana, Mahasiswa mampu translasi alamat IP (Internet Protokol) versi 4 ke alamat IP (Internet Protokol) versi 6. Mata kuliah Manajemen koneksi infrastruktur jaringan membahas topik-topik lanjutan dalam bidang koneksi infrastruktur yang berkaitan dengan pengelolaan koneksi infrastruktur. Mampu menyusun subnet infrastruktur koneksi, Mampu menyusun koneksi infrastruktur (koneksi infrastruktur Area Lokal Virtual), Mampu mengatur perutean Mampu mengatur perutean, Mampu membahas tata cara manajemen alamat Internet Protokol, Mampu merancang (Penafsiran alamat koneksi infrastruktur) & (Terjemahan Alamat Port), Mampu mengonfigurasi (Sistem Nama Domain), Mampu menyusun subnet, layanan koneksi infrastruktur (koneksi infrastruktur Area Lokal Virtual), perutean, tata cara manajemen alamat internet protokol, Penafsiran alamat koneksi infrastruktur, dan konfigurasi Sistem Penamaan Domain, Mampu menganalisis penggunaan lalu lintas koneksi infrastruktur dari data histori yang diberikan, Analisis Lalu Lintas koneksi infrastruktur, Mampu membahas aspek-aspek yang perlu diperhatikan dalam keamanan koneksi infrastruktur, keamanan koneksi infrastruktur, Mampu menggunakan dan mengimplementasikan (koneksi infrastruktur Pribadi Virtual) sederhana, Mampu translasi internet protokol versi 4 ke internet protokol versi 6, Mampu menguraikan apa saja topik bahasan penelitian yang ada di bidang manajemen koneksi infrastruktur, Mampu menjelaskan tentang Analisis Lalu Lintas koneksi infrastruktur, keamanan koneksi infrastruktur, (koneksi infrastruktur Pribadi Virtual), internet protokol versi 6, dan Topik lanjutan dalam manajemen koneksi infrastruktur."
Pengolahan Sinyal Digital,"Mahasiswa mampu memahami konsep dasar pengolahan sinyal digital. Menguasai dan menerapkan pemrosesan sinyal digital dalam studi kasus. Mahasiswa akan belajar tentang konsep pengolahan sinyal digital, bidang penerapan untuk pengolahan sinyal digital, mengembangkan dan menyelesaikan permasalahan dalam bidang pengolahan sinyal digital, dan menerapkan pengolahan sinyal digital dalam beberapa kasus. Memahami pemrosesan sinyal dan pengolahan sinyal digital, Pengertian sinyal dan konsep frekuensi, Elemen dasar sistem. Pengolahan sinyal digital, bidang-bidang aplikasi pengolahan sinyal digital. Menjelaskan dan menerapkan konsep tentang sinyal diskrit Notasi sinyal diskrit, Representasi dan format sinyal diskrit, Operasi sinyal diskrit. Menjelaskan dan menerapkan konsep tentang Sistem waktu diskrit dan Linier Tak Ubah Waktu, Sistem Waktu Diskrit, Sistem Invarian Waktu Linier, Konvolusi Diskrit, Sistem Waktu Diskrit dalam Persamaan Beda. Menjelaskan dan menerapkan konsep perhitungan transformasi pada sistem diskrit, Definisi transformasi, Pembalikan transformasi, Alih Sistem Diskrit Invarian Waktu Linier, Metode Korelasi. Menjelaskan dan menerapkan konsep pembersihan sinyal analog. Menjelaskan dan menerapkan konsep pembersihan sinyal digital dengan metode Respons Impuls. Merancang penerapan pembersihan sinyal digital dengan metode Respons Impuls Tidak Terhingga, Transformasi linier, Penerapan Perancangan Pembersihan Sinyal Digital dengan Metode Respons Impuls Tidak Terhingga. Menjelaskan dan menerapkan konsep pembersihan sinyal digital dengan metode Respons Impuls Terbatas pembersihan Rata-rata Pergerakan, Perancangan pembersihan Respons Impuls Terbatas dengan Metode Langsung. Merancang penerapan pembersihan sinyal digital, Perancangan Pembersihan Respons Impuls Terbatas, Menjelaskan dan menerapkan konsep perhitungan transformasi Fourier pada sinyal diskrit, Definisi dan Analisis Transformasi Fourier. Transformasi Fourier Cepat dengan Pengurangan dalam Frekuensi. Menjelaskan dan menerapkan konsep dasar pemrograman MATLAB/Python, Aritmatika dan Grafik, Metode Ekspansi Parsial, Metode Ruang Keadaan. Menjelaskan dan menerapkan konsep pemrograman konvolusi dan transformasi dengan pemrograman, Pemrograman Konvolusi, Pemrograman Transformasi, Pemrograman Pembalikan Transformasi. Menjelaskan dan menerapkan konsep pemrograman pemrosesan sinyal dan pengolahan sinyal digital di bidang elektronika dengan menggunakan pemrograman, Pemrograman Pembersihan Sinyal Analog, Pemrograman Transformasi Fourier Cepat, Pemrograman Pembersihan Sinyal Digital dengan Metode Respons Impuls Tidak Terhingga dan Respons Impuls Terbatas."
Basis Data Lanjut,"Mahasiswa dapat mendemonstrasikan kueri tingkat lanjut, menggunakan Sistem Manajemen Basis Data berorientasi Objek dan format data tingkat lanjut lainnya. Mahasiswa dapat merancang sistem yang mengimplementasikan konsep basis data lanjut sebagai solusi dari permasalahan yang dihadapi. Implementasi rancangan basis data ke Sistem Basis Data. Basis Data. Mahasiswa di ajarkan dalam kelas berbagai konsep terkait basis data lanjut, penelitian serta isu terkini dari basis data serta diberikan latihan-latihan mandiri, kelas maupun dalam praktik serta proyek terkait basis data lanjut. Mahasiswa dapat mengimplementasikan perintah kueri SQL (Bahasa kueri terstruktur) tingkat lanjut - SQL (Bahasa kueri terstruktur) tingkat lanjut (prosedur), Fundamental Sistem Basis Data, Implementasi SQL (Bahasa kueri terstruktur) lanjut; Mahasiswa dapat mengimplementasikan berorientasi objek dalam perintah SQL (Bahasa kueri terstruktur), Sistem Manajemen Basis Data Berorientasi Objek, Menggunakan kueri berorientasi objek dalam perintah SQL (Bahasa kueri terstruktur); Mahasiswa mampu mengimplementasikan penyimpanan data menggunakan Non-SQL - Non-SQL, Mahasiswa dapat merancang solusi sistem dengan implementasi basis data terdistribusi - Basis Data Terdistribusi, Mahasiswa dapat merancang implementasi basis data multi-dimensi dan data model lanjut – Basis Data Multi-Dimensi & Model Basis Data Lanjut, Mahasiswa dapat menjelaskan konsep konkurensi dan pemulihan pada basis data - konkurensi & pemulihan, penjelasan konsep konkurensi dan pemulihan; Mahasiswa dapat menganalisis potensi celah keamanan pada implementasi basis data dan merancang cara mengamankannya, keamanan basis data, menganalisis potensi celah keamanan dan pemilihan cara pengamanan basis data; Mahasiswa dapat menjelaskan konsep gudang data, gudang data, Mahasiswa dapat menjelaskan konsep data besar - data besar."
Komputasi Grid,"Mahasiswa akan belajar tentang konsep dasar komputasi serta implementasi komputasi pada berbagai bidang; Komputasi Awan, Komputasi Grid; konsep dasar Virtualisasi dan Komputasi Terdistribusi; konsep dan terminologi pendekatan sistem terdistribusi Komputasi Paralel dan arsitekturnya; Komputasi Paralel, Pemrosesan Terdistribusi, Arsitektur Komputer Paralel; arsitektur dan layanan komputasi awan; arsitektur dan aplikasi komputasi grid; klaster, manfaat klaster, dan arsitektur klaster; Pemrograman Thread. Memahami konsep dasar komputasi serta implementasi komputasi pada berbagai bidang, Memahami konsep dasar komputasi awan dan komputasi grid, Memahami Virtualisasi dan Komputasi Terdistribusi dalam Komputasi Awan, Mampu menjelaskan terminologi terkait teknologi pendekatan sistem terdistribusi, Memahami konsep Komputasi Paralel, Pemrosesan Terdistribusi, Arsitektur Komputer Paralel, Mampu menjelaskan pengertian komputasi awan, arsitektur awan dan layanan komputasi awan, Mampu menjelaskan pengertian arsitektur, aplikasi komputasi grid serta perbedaan komputasi awan dan grid, Mampu menjelaskan definisi klaster, manfaat klaster, dan arsitektur klaster, Memahami konsep dasar Pemrograman Thread, Pengiriman Pesan."
Kriptografi,"Mahasiswa mampu melakukan pengamanan data dengan enkripsi maupun dekripsi terhadap suatu pesan dengan menggunakan metode sistem kunci pribadi maupun sistem kunci publik, melakukan tanda tangan secara digital terhadap dokumen dan mampu memahami pengembangan tentang kriptografi pasca kuantum. Selanjutnya Mahasiswa mampu memahami tentang Steganografi (penyembunyian data) dan Penanda air digital. Arsitektur Komputer. Mahasiswa diajarkan menjelaskan konsep dasar kriptografi dan menggunakan dasar matematika terutama teori bilangan, menggunakan sistem kriptografi baik pribadi maupun publik untuk keamanan data. menjelaskan teori informasi dalam kriptografi, melakukan tanda tangan digital dan dapat mengembangkan konsep kriptografi pasca kuantum dan menerapkan Steganografi (penyembunyian data) dan Penanda air digital. Mahasiswa dapat menerapkan matematika terutama teori bilangan dalam kriptografi, mengimplementasikan algoritma kriptografi klasik, mengimplementasikan Algoritma Kriptografi Klasik modern, Mahasiswa Dapat menjelaskan dan menggunakan algoritma kunci publik (asimetris) untuk sistem keamanan dalam teknologi dan informasi Kunci pribadi dan kunci publik serta jenis dan macam kunci publik dan Konsep sistem kriptografi kunci publik, Mahasiswa mampu menjelaskan prinsip kerja protokol pertukaran kunci Diffie-Hellman, memberikan contoh penerapan protokol pertukaran kunci Diffie-Hellman, menjelaskan prinsip kerja sistem kriptografi, Serta dapat memberikan contoh penerapan sistem kriptografi, Mahasiswa dapat menggunakan algoritma Kriptografi Kurva Eliptik untuk proses enkripsi dan dekripsi suatu pesan berwujud data dalam sistem keamanan dalam teknologi informasi proses enkripsi dengan menggunakan algoritma Kriptografi Kurva Eliptik, Mahasiswa Dapat melakukan kripta analisis dan menganalisis algoritma kriptografi yang digunakan Konsep dan cara kerja skema tanda tangan digital."
Manajemen Sistem Informasi,"Mahasiswa mengetahui peran strategis Teknologi Sistem Informasi, infrastruktur teknologi informasi, mengetahui bagaimana memanfaatkan Teknologi Sistem Informasi untuk mendukung keputusan strategis perusahaan, bagaimana mendesain ulang proses bisnis dan membangun Teknologi Sistem Informasi yang sesuai dengan tujuan strategis organisasi serta bagaimana mengimplementasikan dan mengelola sistem baru peran strategis Teknologi Sistem Informasi, infrastruktur teknologi informasi, mengetahui bagaimana memanfaatkan Teknologi Sistem Informasi untuk mendukung keputusan strategis perusahaan, bagaimana mendesain ulang proses bisnis dan membangun Teknologi Sistem Informasi yang sesuai dengan tujuan strategis organisasi serta bagaimana mengimplementasikan dan mengelola sistem baru. Teknologi Sistem Informasi. Mata kuliah Manajemen Teknologi Sistem Informasi ini memberikan pemahaman dan penguasaan kepada mahasiswa mengenai bagaimana implementasi teknologi sistem informasi untuk mendukung keputusan strategis perusahaan. Memahami sistem organisasi dan peran strategisnya pada hubungan antara organisasi, manajemen, proses bisnis dan isu-isu sosial dan etika, Mahasiswa memahami dasar teknis perangkat lunak, penyimpanan data dan teknologi telekomunikasi yang termasuk dalam infrastruktur teknologi informasi dan bagaimana cara mengelola semua infrastruktur Teknologi Informasi tersebut, Mahasiswa memahami peran Teknologi Sistem Informasi dalam meraih dan mendistribusikan pengetahuan organisasi dan pengambilan keputusan di perusahaan dengan dukungan pengetahuan kerja, kolaborasi kelompok, kecerdasan buatan dan Sistem Pendukung Keputusan, Mahasiswa memahami nilai bisnis sistem dan bagaimana mendesain kembali proses bisnis serta mengelola perubahan yang berhubungan dengan sistem, dan bagaimana mengelola teknologi sistem informasi."
Proyek Perangkat Lunak,"Mahasiswa dapat menerapkan kemampuan analisis untuk memecahkan masalah proyek perangkat lunak; Mahasiswa dapat mendesain dan membuat prototipe/purwarupa produk terkait studi kasus yang diberikan. Estimasi Proyek Perangkat Lunak, Manajemen Proyek Perangkat Lunak, Metode pengembangan Proyek Perangkat Lunak. Pada mata kuliah ini mahasiswa belajar mengerjakan proyek bersama untuk kasus nyata di lapangan dalam rangka menerapkan pengetahuan dan keterampilan dari beberapa mata kuliah yang telah diambil sebelumnya. Mahasiswa belajar menerapkan kemampuan analisis untuk memecahkan masalah proyek perangkat lunak, mendesain dan membuat prototipe/purwarupa produk terkait studi kasus yang diberikan. Mahasiswa mampu memaparkan masalah yang akan dihadapi dalam sebuah proyek perangkat lunak, mampu mengidentifikasi gambaran umum, penentu kepentingan, batasan, lingkungan, serta kebutuhan mampu mencari permasalahan dan juga merumuskan solusinya, mampu menentukan spesifikasi kebutuhan perangkat lunak pemodelan perangkat lunak dalam bentuk (Bahasa Spesifikasi Standar) / (Diagram Alur Data); Mahasiswa mampu membuat desain dan solusi dalam perancangan perangkat lunak untuk memecahkan permasalahan yang ditemukan pada tahapan sebelumnya, mampu mendokumentasikan perancangan perangkat lunak, perancangan perangkat lunak berupa kode sumber yang dapat diakses dan dokumentasi spesifikasi kebutuhan perangkat lunak; Mahasiswa memahami tahapan pengujian, implementasi, dan pemeliharaan perangkat lunak, Kualitas perangkat lunak, manajemen proyek, dokumen spesifikasi kebutuhan;"
Expert System,"Mahasiswa mampu memahami konsep sistem pakar, metodologi pengembangan sistem pakar dengan menggunakan berbagai metode pemodelan basis pengetahuan dan metode penalaran. Mata kuliah ini membahas posisi sistem pakar pada kecerdasan buatan, definisi, ruang lingkup, karakteristik dan perkembangan sistem pakar, perbedaan sistem pakar dengan konvensional, metodologi pengembangan sistem pakar, karakteristik seorang pakar, akuisisi pengetahuan, representasi pengetahuan, metode inferensi, metode penanganan ketidak pastian dengan faktor dan metode fuzzy sistem pakar. Pengembang sistem pakar. Memahami Konsep sistem pakar. Pengertian, Komponen, Elemen manusia pada sistem Pakar. Kategori problem dan aplikasi sistem pakar. Mampu melakukan pemodelan pengetahuan dan penalaran. Mampu menggunakan metode-metode penalaran dalam sistem pakar. Mampu melakukan pemodelan sistem pakar yang mengandung unsur ketidak pastian. Mampu menerapkan metode pengembangan sistem pakar. Mampu menerapkan sistem pakar dengan menggunakan Jaringan Saraf Buatan. Studi kasus Sistem Pakar menggunakan Jaringan Saraf. Mampu menerapkan sistem pakar dengan menggunakan penggabungan mekanisme sistem inferensi fuzzy dalam arsitektur jaringan saraf. Mampu menerapkan sistem pakar dengan menggunakan Algoritma Genetik. Mampu merancang sistem pakar pada suatu kasus. Mampu membangun sistem pakar dengan kompilator tertentu."
Komputasi Cloud,"Konsep dasar dari teknologi komputasi awan, layanan komputasi awan dan modelnya, Arsitektur berorientasi layanan seperti (Perangkat Lunak sebagai Layanan), (Platform sebagai Layanan), (Infrastruktur sebagai Layanan). Mahasiswa belajar tentang konsep dasar cloud computing atau komputasi awan, model dan arsitektur layanan cloud computing. Pemahaman terhadap cloud computing tersebut meliputi definisi, jenis layanan, virtualisasi, implementasi virtualisasi dan penerapan cloud computing. Memahami mengenai konsep dasar dari teknologi komputasi awan (cloud computing), Memahami mengenai berbagai layanan komputasi awan (cloud computing) dan model modelnya, Memahami arsitektur dan elemen komputasi awan (cloud computing), Memahami mengenai manajemen komputasi awan (cloud computing), Mampu menjelaskan mengenai arsitektur berorientasi layanan, Memahami mengenai keamanan pada komputasi awan (cloud computing), Memahami tentang teknologi virtualisasi dan komputasi awan (cloud computing), Memahami mengenai teknologi dan platform komputasi awan (cloud computing) serta strategi teknologi informasi modern, Memahami tentang penerapan, pengaplikasian dan pengadopsian komputasi awan (cloud computing), Mahasiswa mampu mengetahui dan memahami tentang utilitas dan layanan web, Memahami dan menganalisis tentang penerapan cloud computing pada aplikasi commerce, definisi dan kategori Commerce, Membangun basis data server di awan, Mengelola dan manajemen layanan (Sistem Nama Domain) di awan, Memahami dan mampu membangun web portal di awan."
